iter	Passed	Remaining
0	2	2167
1	4	2088
2	6	2049
3	7	1964
4	9	1882
5	10	1815
6	12	1839
7	14	1807
8	16	1821
9	18	1830
10	20	1875
11	22	1881
12	24	1884
13	26	1871
14	28	1871
15	30	1867
16	32	1862
17	34	1862
18	36	1863
19	38	1867
20	40	1869
21	42	1869
22	43	1858
23	45	1858
24	47	1842
25	49	1842
26	51	1853
27	52	1836
28	54	1838
29	56	1839
30	58	1821
31	60	1822
32	61	1804
33	63	1790
34	65	1792
35	66	1787
36	68	1792
37	70	1793
38	72	1794
39	74	1792
40	76	1790
41	78	1787
42	80	1787
43	82	1788
44	84	1797
45	86	1785
46	87	1779
47	89	1779
48	91	1767
49	93	1767
50	94	1759
51	96	1755
52	97	1741
53	98	1731
54	100	1735
55	102	1734
56	104	1726
57	106	1725
58	108	1725
59	109	1718
60	111	1721
61	113	1719
62	119	1779
63	121	1784
64	123	1776
65	125	1774
66	126	1764
67	128	1762
68	130	1756
69	131	1748
70	133	1746
71	135	1745
72	136	1737
73	138	1732
74	140	1728
75	142	1726
76	143	1718
77	144	1709
78	146	1707
79	148	1704
80	149	1696
81	150	1689
82	152	1689
83	155	1690
84	156	1684
85	158	1684
86	159	1677
87	161	1673
88	163	1670
89	164	1666
90	166	1660
91	167	1652
92	168	1645
93	169	1638
94	171	1638
95	173	1631
96	174	1628
97	176	1623
98	178	1621
99	179	1615
100	181	1611
101	182	1608
102	184	1607
103	186	1604
104	187	1598
105	189	1594
106	191	1595
107	192	1589
108	194	1590
109	195	1585
110	197	1582
111	199	1578
112	200	1575
113	202	1573
114	203	1568
115	205	1567
116	207	1564
117	208	1558
118	209	1552
119	211	1550
120	212	1546
121	214	1542
122	215	1537
123	217	1535
124	218	1530
125	220	1529
126	222	1527
127	224	1526
128	225	1523
129	227	1519
130	228	1517
131	230	1514
132	231	1509
133	233	1509
134	235	1509
135	236	1505
136	238	1502
137	240	1503
138	241	1498
139	243	1493
140	244	1490
141	245	1486
142	247	1481
143	248	1479
144	250	1479
145	252	1474
146	253	1471
147	255	1468
148	257	1468
149	258	1465
150	260	1464
151	262	1462
152	264	1461
153	265	1456
154	267	1456
155	268	1454
156	270	1450
157	271	1449
158	273	1445
159	274	1442
160	276	1442
161	278	1438
162	280	1439
163	281	1436
164	283	1434
165	284	1431
166	286	1427
167	287	1424
168	288	1420
169	290	1420
170	292	1416
171	293	1413
172	295	1410
173	296	1407
174	297	1403
175	299	1401
176	300	1398
177	301	1394
178	303	1391
179	304	1388
180	306	1386
181	308	1386
182	310	1384
183	312	1385
184	314	1386
185	316	1383
186	317	1380
187	319	1379
188	321	1379
189	323	1378
190	324	1375
191	326	1373
192	327	1371
193	329	1367
194	330	1364
195	332	1363
196	334	1362
197	336	1362
198	337	1358
199	338	1355
200	340	1355
201	342	1351
202	344	1350
203	345	1347
204	346	1343
205	348	1341
206	349	1340
207	351	1336
208	352	1333
209	354	1333
210	356	1331
211	357	1328
212	359	1329
213	361	1327
214	362	1324
215	364	1323
216	365	1320
217	367	1318
218	369	1316
219	370	1314
220	372	1312
221	374	1311
222	375	1309
223	377	1306
224	378	1303
225	380	1302
226	381	1300
227	383	1297
228	384	1296
229	386	1295
230	388	1292
231	390	1291
232	392	1291
233	393	1288
234	394	1285
235	396	1282
236	397	1280
237	399	1278
238	400	1276
239	402	1275
240	404	1273
241	405	1270
242	406	1267
243	408	1265
244	409	1262
245	411	1260
246	412	1258
247	414	1257
248	416	1255
249	417	1252
250	418	1249
251	420	1247
252	421	1245
253	423	1242
254	424	1240
255	425	1237
256	427	1236
257	428	1233
258	431	1233
259	433	1232
260	434	1230
261	436	1229
262	437	1227
263	439	1224
264	440	1222
265	442	1220
266	443	1218
267	445	1215
268	446	1213
269	447	1210
270	448	1207
271	450	1205
272	451	1201
273	452	1199
274	453	1196
275	455	1194
276	456	1191
277	458	1189
278	459	1188
279	461	1185
280	462	1183
281	463	1180
282	464	1177
283	466	1177
284	468	1175
285	470	1173
286	471	1171
287	473	1169
288	474	1167
289	476	1166
290	477	1163
291	479	1161
292	480	1160
293	482	1157
294	483	1156
295	485	1153
296	486	1152
297	487	1149
298	489	1148
299	491	1145
300	492	1143
301	493	1141
302	494	1138
303	496	1135
304	497	1133
305	499	1131
306	500	1129
307	501	1127
308	503	1125
309	505	1124
310	506	1122
311	508	1120
312	509	1117
313	510	1114
314	511	1112
315	513	1110
316	514	1108
317	515	1105
318	517	1104
319	519	1103
320	520	1100
321	521	1098
322	522	1095
323	524	1094
324	525	1091
325	527	1090
326	529	1088
327	530	1087
328	532	1085
329	533	1082
330	534	1080
331	535	1078
332	537	1076
333	538	1073
334	539	1071
335	541	1069
336	543	1068
337	544	1066
338	545	1064
339	547	1062
340	548	1060
341	550	1058
342	551	1057
343	553	1054
344	555	1054
345	556	1051
346	558	1050
347	559	1047
348	561	1046
349	562	1044
350	563	1042
351	565	1040
352	566	1038
353	568	1037
354	569	1034
355	570	1032
356	572	1030
357	574	1029
358	575	1027
359	576	1025
360	578	1023
361	579	1021
362	581	1020
363	582	1017
364	584	1016
365	585	1014
366	586	1012
367	588	1011
368	590	1009
369	591	1006
370	592	1005
371	594	1002
372	595	1000
373	596	998
374	598	997
375	599	995
376	601	994
377	603	992
378	604	990
379	606	988
380	607	987
381	608	985
382	610	983
383	611	981
384	612	978
385	614	977
386	616	976
387	617	973
388	618	971
389	620	970
390	621	968
391	624	968
392	625	966
393	627	964
394	629	963
395	630	961
396	632	960
397	633	958
398	635	956
399	637	955
400	638	954
401	640	952
402	641	950
403	643	948
404	644	947
405	646	945
406	647	944
407	649	941
408	650	939
409	651	937
410	653	936
411	654	934
412	656	932
413	657	930
414	659	929
415	660	927
416	661	925
417	663	923
418	665	922
419	667	921
420	669	920
421	670	917
422	671	916
423	672	914
424	674	912
425	675	910
426	677	908
427	678	906
428	680	905
429	682	904
430	683	902
431	685	901
432	686	899
433	688	897
434	689	895
435	690	893
436	692	891
437	693	889
438	695	888
439	697	887
440	698	885
441	700	884
442	702	883
443	704	882
444	706	880
445	707	879
446	709	877
447	710	875
448	711	873
449	713	871
